conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_keyword
2043524629571236302,Mon Apr 13 03:00:13 +0000 2026,33,Before &amp; After. Penelitian: abon ikan sapu-sapu ciliwung punya kandungan protein diatas SNI. Endingnya: Pramono minta pembasmian ikan sapu-sapu diperluas ke seluruh Jakarta. Before After https://t.co/b6vkiB9qe7,2043524629571236302,https://pbs.twimg.com/media/HFwO0U1akAAa44X.jpg,,in,,0,6,4,https://x.com/undefined/status/2043524629571236302,1628338800362672128,,ikan sapu sapu
2047686444987338768,Sat Apr 25 02:05:31 +0000 2026,0,@Midasekai turis udah kayak spesies invasif plek ketiplek kelakuannya kayak ikan sapu sapu. event wibu udah kurang asik sejak didatangi spesies invasif.,2047859518848262174,,Midasekai,in,,0,0,0,https://x.com/undefined/status/2047859518848262174,1976826916331307010,,ikan sapu sapu
2048009194960490640,Sun Apr 26 03:01:40 +0000 2026,33,@thmsky @Outstandjing Coba tulis siomay sapu sapu ... Saya yakin 99% gak akan ada yang beli.. kalo di tulis di gerobaknya cuma somay aja. Konsumen akan berpikir bahwa dia itu makan ikan atau daging ayam atau sapi,2048236040037728669,,thmsky,in,,0,1,0,https://x.com/undefined/status/2048236040037728669,1777674389141766144,,ikan sapu sapu
2048199526515937485,Sun Apr 26 09:51:56 +0000 2026,0,@rimacahaya661 Pecel ikan sapu-sapu.,2048339283547983958,,rimacahaya661,in,,0,0,0,https://x.com/undefined/status/2048339283547983958,1665048707228893185,,ikan sapu sapu
2047003497762300314,Thu Apr 23 16:18:41 +0000 2026,39,@milkiewaygalaxy abang abang siomay x ikan sapu sapu slowburn lovers to enemies ga sih,2047349451753456133,,milkiewaygalaxy,in,,1,0,4,https://x.com/undefined/status/2047349451753456133,1433324222684692483,,ikan sapu sapu
2048419285467607344,Sun Apr 26 15:09:50 +0000 2026,23,Lah kebalik mulu sama brazil anjir tukeran aja kita sama ikan sapu sapu.,2048419285467607344,,,in,,0,0,5,https://x.com/undefined/status/2048419285467607344,2479071757,,ikan sapu sapu
2047317765120500056,Thu Apr 23 14:12:47 +0000 2026,1,pengen ciuman ama ikan sapu sapu,2047317765120500056,,,in,,0,9,1,https://x.com/undefined/status/2047317765120500056,1515223169552232452,,ikan sapu sapu
2047003497762300314,Thu Apr 23 14:11:22 +0000 2026,22,@milkiewaygalaxy if you're kissing with ikan sapu sapu you will face it whole body soalnya mulutnya dibawah ,2047317409196110231,,milkiewaygalaxy,in,,1,1,0,https://x.com/undefined/status/2047317409196110231,1262085812067266560,,ikan sapu sapu
2044383488309370957,Wed Apr 15 11:53:01 +0000 2026,4865,AKU RELA KERJA NON-STOP PAGI PULANG PAGI BANTING TULANG MENGGULINGKAN PEMERINTAH UNTUK KM DD I MEAN KK CANTIK... KOK BISA SECANTIK INI??? PERCAYALAH CINTAKU PADAMU LEBIH MASIF DARIPADA SELURUH POPULASI IKAN SAPU-SAPU DI DUNIA INI! I LOVE YOU KK CANTIK https://t.co/1BMkpjfbo6,2044383488309370957,https://pbs.twimg.com/media/HF8b8ZGboAACJRj.jpg,,in,,49,10,1306,https://x.com/undefined/status/2044383488309370957,1966165331220783104,,ikan sapu sapu
2045774883897135178,Sun Apr 19 08:01:55 +0000 2026,30358,Gue waktu kuliah becanda sama tukang somay: Somaynya bikin sendiri apa beli bang? ‍ Bikin sendiri dong Pake ikan sapu sapu apa tenggiri nih? Hahaha ‍ Tenggiri lahhh Ikan tenggiri sekarang berapa sekilo bang? ‍ Wah nggak tahu ..........,2045774883897135178,,,in,,203,337,2368,https://x.com/undefined/status/2045774883897135178,43922847,,ikan sapu sapu
2047533598069424624,Sat Apr 25 06:25:07 +0000 2026,0,@__lostcontact @subaktelkomsel Ikan sapu sapu tuu,2047924848589213981,,__lostcontact,in,,0,0,0,https://x.com/undefined/status/2047924848589213981,1358595422,,ikan sapu sapu
